model,accuracy,precision,recall,f1_score,roc_auc,far,frr
logistic_regression,0.9982072025637003,0.9982850684023853,0.9985964365082459,0.99844072817994,0.9997263143246354,0.0023189627911879415,0.0014035634917540646
random_forest,0.9996414405127401,1.0,0.9993761940036648,0.9996879996879997,0.9999996712311603,0.0,0.0006238059963351398
